Matrix,Kernel,GPUs,Total Time (s),Comm Time (s),Comp Time (s),GFLOPS,BW (GB/s),Speedup,Efficiency
ASIC_680ks,cuda-SpMV-CSR-multi,2,6.028804e-05,1.542784e-03,6.000704e-05,77.2683,444.9631,1.73,0.86
ASIC_680ks,cuda-SpMV-CSR-multi,4,4.559884e-05,3.361856e-03,4.541472e-05,102.1594,588.3035,2.28,0.57
ASIC_680ks,cuda-SpMV-cuSparse-multi,1,8.742847e-05,0.000000e+00,8.730560e-05,53.2819,306.8332,1.0,1.0
ASIC_680ks,cuda-SpMV-cuSparse-multi,2,1.037804e-04,1.548544e-03,1.035968e-04,44.8866,258.4877,0.84,0.42
ASIC_680ks,cuda-SpMV-cuSparse-multi,4,1.200776e-04,1.956288e-03,1.199430e-04,38.7945,223.4052,0.73,0.18
Rucci1,SpMV-baseline,1,6.660608e-03,0.000000e+00,6.660608e-03,2.3395,16.4125,1.0,1.0
Rucci1,SpMV-baseline,2,6.583198e-03,0.000000e+00,6.583198e-03,2.367,16.6055,1.01,0.51
Rucci1,SpMV-baseline,4,6.527458e-03,0.000000e+00,6.527458e-03,2.3872,16.7473,1.02,0.26
Rucci1,cuda-SpMV-COO-multi,1,3.075329e-04,0.000000e+00,3.071395e-04,50.6688,331.1684,1.0,1.0
Rucci1,cuda-SpMV-COO-multi,2,1.999894e-04,1.491520e-03,1.995206e-04,77.9158,509.2527,1.54,0.77
Rucci1,cuda-SpMV-COO-multi,4,1.378807e-04,1.948960e-03,1.375901e-04,113.0132,738.6469,2.23,0.56
Rucci1,cuda-SpMV-CSR-Vector-multi,1,1.245048e-03,0.000000e+00,1.244681e-03,12.5154,63.1237,1.0,1.0
Rucci1,cuda-SpMV-CSR-Vector-multi,2,7.225231e-04,1.182080e-03,7.219389e-04,21.5666,108.7744,1.72,0.86
Rucci1,cuda-SpMV-CSR-Vector-multi,4,3.724888e-04,1.617888e-03,3.722179e-04,41.833,210.9917,3.34,0.84
Rucci1,cuda-SpMV-CSR-multi,1,1.324186e-04,0.000000e+00,1.320448e-04,117.6748,593.5121,1.0,1.0
Rucci1,cuda-SpMV-CSR-multi,2,8.534495e-05,1.179744e-03,8.474848e-05,182.5806,920.875,1.55,0.78
Rucci1,cuda-SpMV-CSR-multi,4,5.204578e-05,1.443936e-03,5.175488e-05,299.3967,1510.0556,2.54,0.64
Rucci1,cuda-SpMV-cuSparse-multi,1,2.069207e-04,0.000000e+00,2.068061e-04,75.3058,379.8171,1.0,1.0
Rucci1,cuda-SpMV-cuSparse-multi,2,1.552212e-04,1.164864e-03,1.550906e-04,100.388,506.3229,1.33,0.67
Rucci1,cuda-SpMV-cuSparse-multi,4,1.192817e-04,1.693696e-03,1.191558e-04,130.6347,658.8774,1.73,0.43
bcsstk16,SpMV-baseline,1,9.383600e-05,0.000000e+00,9.383600e-05,3.1466,19.2959,1.0,1.0
bcsstk16,SpMV-baseline,2,9.663540e-05,0.000000e+00,9.663540e-05,3.0554,18.7369,0.97,0.49
bcsstk16,SpMV-baseline,4,9.598780e-05,0.000000e+00,9.598780e-05,3.076,18.8633,0.98,0.24
bcsstk16,cuda-SpMV-COO-multi,1,4.071583e-05,0.000000e+00,4.020224e-05,14.2636,86.5415,1.0,1.0
bcsstk16,cuda-SpMV-COO-multi,2,3.430685e-05,8.908800e-04,3.396512e-05,16.9283,102.7086,1.19,0.59
