Matrix,Kernel,GPUs,Total Time (s),Comm Time (s),Comp Time (s),GFLOPS,BW (GB/s),Speedup,Efficiency
ASIC_680ks,cuda-SpMV-cuSparse-multi,1,1.019981e-04,0.000000e+00,1.018650e-04,45.671,263.0046,1.0,1.0
ASIC_680ks,cuda-SpMV-cuSparse-multi,2,1.003011e-04,1.540832e-03,1.001818e-04,46.4437,267.4544,1.02,0.51
ASIC_680ks,cuda-SpMV-cuSparse-multi,4,1.105243e-04,3.327008e-03,1.103798e-04,42.1478,242.7154,0.92,0.23
ASIC_680ks,prof-SpMV-baseline,1,2.758528e-03,0.000000e+00,2.758528e-03,1.6887,12.1122,1.0,1.0
ASIC_680ks,prof-SpMV-baseline,2,2.805448e-03,0.000000e+00,2.805448e-03,1.6605,11.9096,0.98,0.49
ASIC_680ks,prof-SpMV-baseline,4,2.812099e-03,0.000000e+00,2.812099e-03,1.6565,11.8814,0.98,0.25
Rucci1,cuda-SpMV-COO-multi,1,3.079560e-04,0.000000e+00,3.075680e-04,50.5992,330.7133,1.0,1.0
Rucci1,cuda-SpMV-COO-multi,2,1.966570e-04,1.489760e-03,1.962032e-04,79.2361,517.8823,1.57,0.78
Rucci1,cuda-SpMV-COO-multi,4,1.393598e-04,1.990304e-03,1.390810e-04,111.8137,730.8075,2.21,0.55
Rucci1,cuda-SpMV-CSR-Vector-multi,1,1.346833e-03,0.000000e+00,1.346432e-03,11.5696,58.3532,1.0,1.0
Rucci1,cuda-SpMV-CSR-Vector-multi,2,7.187693e-04,1.275904e-03,7.183315e-04,21.6792,109.3425,1.87,0.94
Rucci1,cuda-SpMV-CSR-Vector-multi,4,3.720663e-04,1.708192e-03,3.717699e-04,41.8805,211.2312,3.62,0.9
Rucci1,cuda-SpMV-CSR-multi,1,1.438878e-04,0.000000e+00,1.434973e-04,108.295,546.2034,1.0,1.0
Rucci1,cuda-SpMV-CSR-multi,2,8.390770e-05,1.181504e-03,8.346528e-05,185.7081,936.6486,1.71,0.86
Rucci1,cuda-SpMV-CSR-multi,4,5.232927e-05,1.635936e-03,5.206240e-05,297.7748,1501.8751,2.75,0.69
Rucci1,cuda-SpMV-cuSparse-multi,1,2.150378e-04,0.000000e+00,2.149078e-04,72.4632,365.4801,1.0,1.0
Rucci1,cuda-SpMV-cuSparse-multi,2,1.541257e-04,1.182368e-03,1.539750e-04,101.1015,509.9217,1.4,0.7
Rucci1,cuda-SpMV-cuSparse-multi,4,1.217714e-04,1.526240e-03,1.216557e-04,127.9639,645.4064,1.77,0.44
Rucci1,prof-SpMV-baseline,1,6.997601e-03,0.000000e+00,6.997601e-03,2.2268,15.6221,1.0,1.0
Rucci1,prof-SpMV-baseline,2,6.978866e-03,0.000000e+00,6.978866e-03,2.2328,15.664,1.0,0.5
Rucci1,prof-SpMV-baseline,4,6.558280e-03,0.000000e+00,6.558280e-03,2.376,16.6686,1.07,0.27
bcsstk16,cuda-SpMV-COO-multi,1,3.696587e-05,0.000000e+00,3.648192e-05,15.7106,95.3206,1.0,1.0
bcsstk16,cuda-SpMV-COO-multi,2,3.390340e-05,9.523200e-04,3.356480e-05,17.1297,103.9308,1.09,0.55
bcsstk16,cuda-SpMV-COO-multi,4,2.836852e-05,1.094656e-03,2.814848e-05,20.4718,124.2084,1.3,0.33
bcsstk16,cuda-SpMV-CSR-Vector-multi,1,1.712212e-05,0.000000e+00,1.668448e-05,33.9185,139.097,1.0,1.0
bcsstk16,cuda-SpMV-CSR-Vector-multi,2,1.800848e-05,1.053696e-03,1.766656e-05,32.249,132.2508,0.95,0.48
bcsstk16,cuda-SpMV-CSR-Vector-multi,4,1.748034e-05,1.120256e-03,1.726080e-05,33.2234,136.2465,0.98,0.24
bcsstk16,cuda-SpMV-CSR-multi,1,2.664680e-05,0.000000e+00,2.621856e-05,21.7946,89.3779,1.0,1.0
bcsstk16,cuda-SpMV-CSR-multi,2,3.132318e-05,8.714240e-04,3.104224e-05,18.5408,76.0343,0.85,0.43
bcsstk16,cuda-SpMV-CSR-multi,4,3.232842e-05,1.393664e-03,3.210752e-05,17.9643,73.67,0.82,0.21
bcsstk16,cuda-SpMV-cuSparse-multi,1,5.940184e-05,0.000000e+00,5.928960e-05,9.7767,40.0936,1.0,1.0
bcsstk16,cuda-SpMV-cuSparse-multi,2,7.941602e-05,1.037312e-03,7.924736e-05,7.3128,29.9894,0.75,0.37
bcsstk16,cuda-SpMV-cuSparse-multi,4,7.959947e-05,1.076224e-03,7.946912e-05,7.296,29.9202,0.75,0.19
bcsstk16,prof-SpMV-baseline,1,9.406770e-05,0.000000e+00,9.406770e-05,3.1388,19.2483,1.0,1.0
bcsstk16,prof-SpMV-baseline,2,9.838530e-05,0.000000e+00,9.838530e-05,3.0011,18.4036,0.96,0.48
bcsstk16,prof-SpMV-baseline,4,9.590410e-05,0.000000e+00,9.590410e-05,3.0787,18.8798,0.98,0.25
bcsstk17,cuda-SpMV-COO-multi,1,4.145626e-05,0.000000e+00,4.110144e-05,20.6796,126.1955,1.0,1.0
bcsstk17,cuda-SpMV-COO-multi,2,3.381321e-05,9.830400e-04,3.335584e-05,25.354,154.7204,1.23,0.61
bcsstk17,cuda-SpMV-COO-multi,4,2.937125e-05,1.120256e-03,2.908832e-05,29.1884,178.1195,1.41,0.35
bcsstk17,cuda-SpMV-CSR-Vector-multi,1,2.013166e-05,0.000000e+00,1.978560e-05,42.5847,176.8802,1.0,1.0
bcsstk17,cuda-SpMV-CSR-Vector-multi,2,1.946991e-05,1.034240e-03,1.902304e-05,44.032,182.8921,1.03,0.52
bcsstk17,cuda-SpMV-CSR-Vector-multi,4,1.778248e-05,1.178624e-03,1.748576e-05,48.2104,200.2472,1.13,0.28
bcsstk17,cuda-SpMV-CSR-multi,1,3.075839e-05,0.000000e+00,3.038368e-05,27.8721,115.7698,1.0,1.0
bcsstk17,cuda-SpMV-CSR-multi,2,3.129690e-05,1.058816e-03,3.084896e-05,27.3925,113.7778,0.98,0.49
bcsstk17,cuda-SpMV-CSR-multi,4,3.160951e-05,1.150976e-03,3.132160e-05,27.1216,112.6526,0.97,0.24
bcsstk17,cuda-SpMV-cuSparse-multi,1,6.059544e-05,0.000000e+00,6.048384e-05,14.1479,58.765,1.0,1.0
bcsstk17,cuda-SpMV-cuSparse-multi,2,8.051181e-05,1.046528e-03,8.033792e-05,10.6481,44.2282,0.75,0.38
bcsstk17,cuda-SpMV-cuSparse-multi,4,8.093339e-05,1.255424e-03,8.080512e-05,10.5927,43.9978,0.75,0.19
bcsstk17,prof-SpMV-baseline,1,1.384487e-04,0.000000e+00,1.384487e-04,3.1754,19.6863,1.0,1.0
bcsstk17,prof-SpMV-baseline,2,1.440965e-04,0.000000e+00,1.440965e-04,3.0509,18.9147,0.96,0.48
bcsstk17,prof-SpMV-baseline,4,1.415659e-04,0.000000e+00,1.415659e-04,3.1054,19.2528,0.98,0.24
boyd2,cuda-SpMV-COO-multi,1,4.910258e-04,0.000000e+00,4.906525e-04,6.1113,44.2651,1.0,1.0
boyd2,cuda-SpMV-COO-multi,2,3.861082e-04,2.496128e-03,3.856400e-04,7.7719,56.2933,1.27,0.64
boyd2,cuda-SpMV-COO-multi,4,3.609203e-04,2.994752e-03,3.605437e-04,8.3143,60.2219,1.36,0.34
boyd2,cuda-SpMV-CSR-Vector-multi,1,4.439626e-04,0.000000e+00,4.435917e-04,6.7591,39.6407,1.0,1.0
boyd2,cuda-SpMV-CSR-Vector-multi,2,2.600266e-04,1.747200e-03,2.595619e-04,11.5403,67.6814,1.71,0.85
boyd2,cuda-SpMV-CSR-Vector-multi,4,2.422278e-04,2.079808e-03,2.418659e-04,12.3883,72.6546,1.83,0.46
boyd2,cuda-SpMV-CSR-multi,1,6.882960e-03,0.000000e+00,6.882536e-03,0.436,2.5569,1.0,1.0
boyd2,cuda-SpMV-CSR-multi,2,5.053074e-03,1.612256e-03,5.052604e-03,0.5939,3.4828,1.36,0.68
boyd2,cuda-SpMV-CSR-multi,4,3.968772e-03,2.053024e-03,3.968434e-03,0.7561,4.4344,1.73,0.43
boyd2,cuda-SpMV-cuSparse-multi,1,8.513087e-05,0.000000e+00,8.499776e-05,35.2492,206.7284,1.0,1.0
boyd2,cuda-SpMV-cuSparse-multi,2,9.208802e-05,1.724512e-03,9.195872e-05,32.5861,191.1103,0.92,0.46
boyd2,cuda-SpMV-cuSparse-multi,4,8.737834e-05,3.180800e-03,8.723776e-05,34.3425,201.4112,0.97,0.24
boyd2,prof-SpMV-baseline,1,8.992211e-04,0.000000e+00,8.992211e-04,1.9797,16.0268,1.0,1.0
boyd2,prof-SpMV-baseline,2,1.030978e-03,0.000000e+00,1.030978e-03,1.7267,13.9786,0.87,0.44
boyd2,prof-SpMV-baseline,4,8.715200e-04,0.000000e+00,8.715200e-04,2.0426,16.5362,1.03,0.26
m_t1,cuda-SpMV-COO-multi,1,8.226850e-04,0.000000e+00,8.223149e-04,23.7116,143.2182,1.0,1.0
m_t1,cuda-SpMV-COO-multi,2,5.595261e-04,1.478496e-03,5.591801e-04,34.8637,210.5772,1.47,0.74
m_t1,cuda-SpMV-COO-multi,4,3.245729e-04,1.820896e-03,3.243392e-04,60.1009,363.0108,2.53,0.63
m_t1,cuda-SpMV-CSR-Vector-multi,1,1.493733e-04,0.000000e+00,1.489981e-04,130.5932,530.2118,1.0,1.0
m_t1,cuda-SpMV-CSR-Vector-multi,2,1.010354e-04,1.359712e-03,1.007200e-04,193.0723,783.8785,1.48,0.74
m_t1,cuda-SpMV-CSR-Vector-multi,4,6.062684e-05,1.674048e-03,6.039552e-05,321.7575,1306.3438,2.46,0.62
m_t1,cuda-SpMV-CSR-multi,1,2.432451e-04,0.000000e+00,2.428691e-04,80.1954,325.5954,1.0,1.0
m_t1,cuda-SpMV-CSR-multi,2,1.559407e-04,1.277568e-03,1.556016e-04,125.0933,507.882,1.56,0.78
m_t1,cuda-SpMV-CSR-multi,4,8.714280e-05,1.716224e-03,8.691904e-05,223.8526,908.8473,2.79,0.7
m_t1,cuda-SpMV-cuSparse-multi,1,1.698508e-04,0.000000e+00,1.697258e-04,114.8487,466.2886,1.0,1.0
m_t1,cuda-SpMV-cuSparse-multi,2,1.373662e-04,1.335584e-03,1.372352e-04,142.0083,576.5575,1.24,0.62
m_t1,cuda-SpMV-cuSparse-multi,4,1.109775e-04,1.647648e-03,1.108109e-04,175.7757,713.654,1.53,0.38
m_t1,prof-SpMV-baseline,1,4.071611e-03,0.000000e+00,4.071611e-03,2.4195,14.7086,1.0,1.0
m_t1,prof-SpMV-baseline,2,4.288003e-03,0.000000e+00,4.288003e-03,2.2974,13.9663,0.95,0.47
m_t1,prof-SpMV-baseline,4,4.212406e-03,0.000000e+00,4.212406e-03,2.3386,14.2169,0.97,0.24
patents_main,cuda-SpMV-COO-multi,1,4.434000e-05,0.000000e+00,4.390592e-05,25.3019,195.2118,1.0,1.0
patents_main,cuda-SpMV-COO-multi,2,3.446576e-05,1.471072e-03,3.418016e-05,32.5507,251.1389,1.29,0.64
patents_main,cuda-SpMV-COO-multi,4,2.529155e-05,1.828704e-03,2.495840e-05,44.3581,342.2365,1.75,0.44
patents_main,cuda-SpMV-CSR-Vector-multi,1,1.135203e-04,0.000000e+00,1.130819e-04,9.8827,64.9586,1.0,1.0
patents_main,cuda-SpMV-CSR-Vector-multi,2,7.282451e-05,1.362432e-03,7.255072e-05,15.4053,101.2587,1.56,0.78
patents_main,cuda-SpMV-CSR-Vector-multi,4,4.618835e-05,1.606528e-03,4.586176e-05,24.2894,159.6531,2.46,0.61
patents_main,cuda-SpMV-CSR-multi,1,5.147082e-05,0.000000e+00,5.100736e-05,21.7965,143.2678,1.0,1.0
patents_main,cuda-SpMV-CSR-multi,2,3.772815e-05,1.337952e-03,3.746176e-05,29.736,195.4538,1.36,0.68
patents_main,cuda-SpMV-CSR-multi,4,3.291904e-05,3.397728e-03,3.258656e-05,34.0802,224.0075,1.56,0.39
patents_main,cuda-SpMV-cuSparse-multi,1,8.717768e-05,0.000000e+00,8.705184e-05,12.869,84.5872,1.0,1.0
patents_main,cuda-SpMV-cuSparse-multi,2,9.188870e-05,1.349536e-03,9.176128e-05,12.2092,80.2505,0.95,0.47
patents_main,cuda-SpMV-cuSparse-multi,4,8.775275e-05,1.363968e-03,8.761120e-05,12.7846,84.0328,0.99,0.25
patents_main,prof-SpMV-baseline,1,1.873259e-03,0.000000e+00,1.873259e-03,0.5989,4.6207,1.0,1.0
patents_main,prof-SpMV-baseline,2,1.897437e-03,0.000000e+00,1.897437e-03,0.5913,4.5618,0.99,0.49
patents_main,prof-SpMV-baseline,4,1.895273e-03,0.000000e+00,1.895273e-03,0.5919,4.567,0.99,0.25
webbase-1M,cuda-SpMV-COO-multi,1,1.288862e-04,0.000000e+00,1.284659e-04,48.1903,351.2127,1.0,1.0
webbase-1M,cuda-SpMV-COO-multi,2,9.135733e-05,1.584576e-03,9.084864e-05,67.9866,495.4881,1.41,0.71
webbase-1M,cuda-SpMV-CSR-Vector-multi,1,7.485952e-04,0.000000e+00,7.481252e-04,8.297,49.218,1.0,1.0
webbase-1M,cuda-SpMV-CSR-Vector-multi,2,3.889076e-04,1.160704e-03,3.884365e-04,15.9706,94.7381,1.92,0.96
webbase-1M,cuda-SpMV-CSR-multi,1,6.529367e-04,0.000000e+00,6.524845e-04,9.5125,56.4287,1.0,1.0
webbase-1M,cuda-SpMV-CSR-multi,2,6.926705e-04,1.184224e-03,6.921590e-04,8.9668,53.1917,0.94,0.47
webbase-1M,cuda-SpMV-CSR-multi,4,2.974194e-04,1.541280e-03,2.968899e-04,20.8832,123.8801,2.2,0.55
webbase-1M,cuda-SpMV-cuSparse-multi,1,1.246247e-04,0.000000e+00,1.244275e-04,49.8382,295.6426,1.0,1.0
webbase-1M,cuda-SpMV-cuSparse-multi,2,1.115671e-04,1.173600e-03,1.114394e-04,55.6712,330.2438,1.12,0.56
webbase-1M,prof-SpMV-baseline,1,4.286664e-03,0.000000e+00,4.286664e-03,1.4489,10.5598,1.0,1.0
webbase-1M,prof-SpMV-baseline,2,4.155023e-03,0.000000e+00,4.155023e-03,1.4948,10.8944,1.03,0.52
